label,retrieval_mode,faithfulness,relevance,context_recall,completeness,run_dir
dense,dense,4.555555555555555,4.666666666666667,5.0,4.5,/home/quang_ai/main/Lecture-Day-08-09-10/day08/lab/results/experiments/simple_20260413_173635/01_dense
sparse,sparse,3.5,4.5,5.0,3.875,/home/quang_ai/main/Lecture-Day-08-09-10/day08/lab/results/experiments/simple_20260413_173635/02_sparse
hybrid_50_50,hybrid,3.5714285714285716,3.888888888888889,5.0,4.0,/home/quang_ai/main/Lecture-Day-08-09-10/day08/lab/results/experiments/simple_20260413_173635/03_hybrid_50_50
